islet_id,imageid,donor_status
6551_Islet_171,6551,T1D
6450_Islet_189,6450,Aab+
112_Islet_544,112,ND
6534_Islet_75,6534,T1D
6356_Islet_150,6356,ND
6549_Islet_325,6549,Aab+
6356_Islet_806,6356,ND
112_Islet_77,112,ND
112_Islet_550,112,ND
6563_Islet_56,6563,T1D
6551_Islet_90,6551,T1D
6563_Islet_38,6563,T1D
6521_Islet_80,6521,Aab+
6479_Islet_152,6479,ND
112_Islet_424,112,ND
112_Islet_354,112,ND
6563_Islet_53,6563,T1D
6521_Islet_107,6521,Aab+
6516_Islet_184,6516,ND
